Kode,Nama,Tanggal Pencatatan
MPMX,PT Mitra Pinasthika Mustika Tbk.,29 Mei 2013
MPOW,PT Megapower Makmur Tbk.,06 Jul 2017
MPPA,Matahari Putra Prima Tbk,21 Des 1992
MPRO,PT Maha Properti Indonesia Tbk.,09 Okt 2018
MRAT,Mustika Ratu Tbk,27 Jul 1995
MREI,Maskapai Reasuransi Indonesia Tbk,04 Sep 1989
MSIN,PT MNC Studios International Tbk.,08 Jun 2018
MSKY,MNC Sky Vision Tbk,09 Jul 2012
MTDL,Metrodata Electronics Tbk,09 Apr 1990
MTFN,Capitalinc Investment Tbk,16 Apr 1990
MTLA,Metropolitan Land Tbk,20 Jun 2011
MTPS,PT Meta Epsi Tbk.,10 Apr 2019
MTRA,PT Mitra Pemuda Tbk.,10 Feb 2016
MTSM,Metro Realty Tbk,08 Jan 1992
MTWI,PT Malacca Trust Wuwungan Insurance Tbk.,11 Okt 2017
MYOH,Samindo Resources Tbk,27 Jul 2000
MYOR,Mayora Indah Tbk,04 Jul 1990
MYRX,Hanson International Tbk,31 Okt 1990
MYTX,PT Asia Pacific Investama Tbk.,10 Okt 1989
NASA,PT Ayana Land International Tbk,07 Ags 2017
NATO,PT Nusantara Properti Internasional Tbk,18 Jan 2019
NELY,Pelayaran Nelly Dwi Putri Tbk,11 Okt 2012
NFCX,PT NFC Indonesia Tbk,12 Jul 2018
NICK,PT Charnic Capital Tbk.,02 Mei 2018
NIKL,Pelat Timah Nusantara Tbk,14 Des 2009
NIPS,Nipress Tbk,24 Jul 1991
NIRO,City Retail Developments Tbk,13 Sep 2012
NISP,PT Bank OCBC NISP Tbk,20 Okt 1994
NOBU,PT Bank Nationalnobu Tbk.,20 Mei 2013
NRCA,PT Nusa Raya Cipta Tbk.,27 Jun 2013
NUSA,PT Sinergi Megah Internusa Tbk,12 Jul 2018
NZIA,"PT Nusantara Almazia, Tbk.",25 Sep 2019
OASA,PT Protech Mitra Perkasa Tbk,18 Jul 2016
OCAP,ONIX CAPITAL Tbk,10 Nov 2003
OKAS,Ancora Indonesia Resources Tbk,17 Apr 2006
OMRE,Indonesia Prima Property Tbk,22 Ags 1994
OPMS,PT Optima Prima Metal Sinergi Tbk.,23 Sep 2019
PADI,Minna Padi Investama Sekuritas Tbk,09 Jan 2012
PALM,Provident Agro Tbk,08 Okt 2012
PAMG,PT Bima Sakti Pertiwi Tbk,05 Jul 2019
PANI,PT Pratama Abadi Nusa Industri Tbk.,18 Sep 2018
PANR,Panorama Sentrawisata Tbk,18 Sep 2001
PANS,Panin Sekuritas Tbk,31 Mei 2000
PBID,PT Panca Budi Idaman Tbk,13 Des 2017
PBRX,Pan Brothers Tbk,16 Ags 1990
PBSA,PT Paramita Bangun Sarana Tbk,28 Sep 2016
PCAR,PT Prima Cakrawala Abadi Tbk,29 Des 2017
PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008
PEGE,PT Panca Global Kapital Tbk.,24 Jun 2005
PEHA,PT Phapros Tbk,01 Jan 1911
PGAS,PT Perusahaan Gas Negara Tbk.,15 Des 2003
PGJO,PT Tourindo Guide Indonesia Tbk.,08 Jan 2020
PGLI,Pembangunan Graha Lestari Tbk,11 Mei 2000
PGUN,PT Pradiksi Gunatama Tbk,07 Jul 2020
PICO,Pelangi Indah Canindo Tbk,23 Sep 1996
PJAA,Pembangunan Jaya Ancol Tbk,02 Jul 2004
PKPK,Perdana Karya Perkasa Tbk,11 Jul 2007
PLAN,PT Planet Properindo Jaya Tbk,15 Sep 2020
PLAS,Polaris Investama Tbk,16 Mar 2001
PLIN,Plaza Indonesia Realty Tbk,15 Jun 1992
PMJS,PT Putra Mandiri Jembar Tbk,18 Des 2019
PNBN,Bank Pan Indonesia Tbk,29 Des 1982
PNBS,PT Bank Panin Dubai Syariah Tbk.,15 Jan 2014
PNGO,PT Pinago Utama Tbk,31 Ags 2020
PNIN,Paninvest Tbk,20 Sep 1983
PNLF,Panin Financial Tbk,14 Jun 1983
PNSE,Pudjiadi & Sons Tbk,01 Mei 1990
POLA,PT Pool Advista Finance Tbk.,16 Nov 2018
POLI,PT Pollux Investasi Internasional Tbk.,10 Jan 2019
POLL,PT Pollux Properti Indonesia Tbk.,11 Jul 2018
POLU,PT Golden Flower Tbk.,26 Jun 2019
POLY,Asia Pacific Fibers Tbk,12 Mar 1991
POOL,Pool Advista Indonesia Tbk,20 Mei 1991
PORT,PT Nusantara Pelabuhan Handal Tbk.,16 Mar 2017
POSA,PT Bliss Properti Indonesia Tbk.,10 Mei 2019
POWR,PT Cikarang Listrindo Tbk.,14 Jun 2016
PPGL,PT Prima Globalindo Logistik Tbk.,20 Jul 2020
PPRE,PT PP Presisi Tbk.,24 Nov 2017
PPRO,PT PP Properti Tbk.,19 Mei 2015
PRAS,Prima Alloy Steel Universal Tbk,12 Jul 1990
PRDA,PT Prodia Widyahusada Tbk.,07 Des 2016
PRIM,PT Royal Prima Tbk.,15 Mei 2018
PSAB,J RESOURCES ASIA PASIFIK Tbk,22 Apr 2003
PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994
PSGO,PT Palma Serasih Tbk.,25 Nov 2019
PSKT,PT Red Planet Indonesia Tbk,29 Sep 1995
PSSI,PT Pelita Samudera Shipping Tbk,05 Des 2017
PTBA,Bukit Asam Tbk,23 Des 2002
PTIS,Indo Straits Tbk,12 Jul 2011
PTPP,PP (Persero) Tbk,09 Feb 2010
PTPW,PT Pratama Widya Tbk.,07 Feb 2020
PTRO,Petrosea Tbk,21 Mei 1990
PTSN,Sat Nusapersada Tbk,08 Nov 2007
PTSP,Pioneerindo Gourmet International Tbk,30 Mei 1994
PUDP,Pudjiadi Prestige Tbk,18 Nov 1994
PURA,PT Putra Rajawali Kencana Tbk.,29 Jan 2020
PURE,PT Trinitan Metals and Minerals Tbk,09 Okt 2019
PURI,PT Puri Global Sukses Tbk,08 Sep 2020
PWON,Pakuwon Jati Tbk,09 Okt 1989
PYFA,Pyridam Farma Tbk,16 Okt 2001
PZZA,PT Sarimelati Kencana Tbk.,23 Mei 2018
RAJA,Rukun Raharja Tbk,19 Apr 2006
RALS,Ramayana Lestari Sentosa Tbk,24 Jul 1996
RANC,Supra Boga Lestari Tbk,07 Jun 2012
RBMS,Ristia Bintang Mahkotasejati Tbk,19 Des 1997
RDTX,Roda Vivatex Tbk,14 Mei 1990
REAL,PT Repower Asia Indonesia Tbk.,06 Des 2019
RELI,Reliance Sekuritas Indonesia Tbk,13 Jul 2005
RICY,Ricky Putra Globalindo Tbk,22 Jan 1998
RIGS,Rig Tenders Tbk,05 Mar 1990
RIMO,PT Rimo International Lestari Tbk.,10 Nov 2000
RISE,PT Jaya Sukses Makmur Sentosa Tbk.,09 Jul 2018
RMBA,Bentoel International Investama Tbk,05 Mar 1990
ROCK,PT Rockfields Properti Indonesia Tbk.,10 Sep 2020
RODA,Pikko Land Development Tbk,22 Okt 2001
RONY,PT Aesler Grup Internasional Tbk,09 Apr 2020
ROTI,PT Nippon Indosari Corpindo Tbk,28 Jun 2010
RUIS,Radiant Utama Interinsco Tbk,12 Jul 2006
SAFE,Steady Safe Tbk,15 Ags 1994
SAME,Sarana Meditama Metropolitan Tbk,11 Jan 2013
SAMF,PT Saraswanti Anugerah Makmur Tbk.,31 Mar 2020
SAPX,PT Satria Antaran Prima Tbk.,03 Okt 2018
SATU,PT Kota Satu Properti Tbk.,05 Nov 2018
SBAT,PT Sejahtera Bintang Abadi Textile Tbk.,08 Apr 2020
SCCO,PT Supreme Cable Manufacturing & Commerce Tbk,20 Jul 1982
SCMA,Surya Citra Media Tbk,16 Jul 2002
SCNP,PT Selaras Citra Nusantara Perkasa Tbk,07 Sep 2020
SCPI,Merck Sharp Dohme Pharma Tbk,08 Jun 1990
SDMU,Sidomulyo Selaras Tbk,12 Jul 2011
SDPC,Millennium Pharmacon International Tbk,07 Mei 1990
SDRA,PT Bank Woori Saudara Indonesia 1906 Tbk,15 Des 2006
SFAN,PT Surya Fajar Capital Tbk,19 Jun 2019
SGER,PT Sumber Global Energy Tbk.,10 Ags 2020
SGRO,PT Sampoerna Agro Tbk,18 Jun 2007
SHID,Hotel Sahid Jaya Tbk,08 Mei 1990
SHIP,PT Sillo Maritime Perdana Tbk,16 Jun 2016
SIDO,PT Industri Jamu Dan Farmasi Sido Muncul Tbk,18 Des 2013
SILO,PT Siloam International Hospitals Tbk.,12 Sep 2013
SIMA,Siwani Makmur Tbk,03 Jun 1994
SIMP,Salim Ivomas Pratama Tbk,09 Jun 2011
SINI,PT Singaraja Putra Tbk.,08 Nov 2019
SIPD,Sierad Produce Tbk,27 Des 1996
SKLT,Sekar Laut Tbk,08 Sep 1993
SKRN,PT Superkrane Mitra Utama Tbk,11 Okt 2018
SKYB,PT Northcliff Citranusa Indonesia Tbk.,07 Jul 2010
SLIS,PT Gaya Abadi Sempurna Tbk,07 Okt 2019
SMAR,PT Sinas Mas Agro Resources and Technology Tbk,20 Nov 1992
SMBR,PT Semen Baturaja (Persero) Tbk,28 Jun 2013
SMCB,PT Solusi Bangun Indonesia Tbk,10 Ags 1977
SMDM,Suryamas Dutamakmur Tbk,12 Okt 1995
SMDR,Samudera Indonesia Tbk,05 Des 1999
SMGR,Semen Indonesia (Persero) Tbk,08 Jul 1991
SMKL,PT Satyamitra Kemas Lestari Tbk,11 Jul 2019
SMMA,PT Sinar Mas Multiartha Tbk,05 Jul 1995
SMMT,GOLDEN EAGLE ENERGY Tbk,29 Feb 2000
SMRA,PT Summarecon Agung Tbk,07 Mei 1990
SMRU,SMR Utama Tbk,10 Okt 2011
SMSM,Selamat Sempurna Tbk,09 Sep 1996
SOCI,PT Soechi Lines Tbk.,03 Des 2014
SOFA,PT Boston Furniture Industries Tbk..,07 Jul 2020
SOHO,PT Soho Global Health Tbk,08 Sep 2020
SONA,Sona Topas Tourism Industry Tbk,21 Jul 1992
SOSS,PT Shield On Service Tbk.,06 Nov 2018
SOTS,PT Satria Mega Kencana Tbk.,10 Des 2018
SPMA,Suparma Tbk,16 Nov 1994
SPOT,PT Sofyan Hotels Tbk,01 Jan 1911
SPTO,PT Surya Pertiwi Tbk,14 Mei 2018
SQMI,Wilton Makmur Indonesia Tbk,15 Jul 2004
SRAJ,Sejahteraraya Anugrahjaya Tbk,11 Apr 2011
SRIL,PT Sri Rejeki Isman Tbk,17 Jun 2013
SRSN,Indo Acidatama Tbk,11 Jan 1993
SRTG,PT Saratoga Investama Sedaya Tbk.,26 Jun 2013
SSIA,PT Surya Semesta Internusa Tbk,27 Mar 1997
SSMS,PT Sawit Sumbermas Sarana Tbk.,12 Des 2013
SSTM,Sunson Textile Manufacturer Tbk,20 Ags 1997
STAR,PT Buana Artha Anugerah Tbk.,13 Jul 2011
STTP,PT Siantar Top Tbk,16 Des 1996
SUDI,Surya Dumai Industri Tbk,01 Jan 1911
SUGI,Sugih Energy Tbk,19 Jun 2002
SULI,PT SLJ Global Tbk,21 Mar 1994
SUPR,Solusi Tunas Pratama Tbk,11 Okt 2011
SURE,PT Super Energy Tbk.,05 Okt 2018
SWAT,PT Sriwahana Adityakarta Tbk.,08 Jun 2018
TAMA,PT Lancartama Sejati Tbk.,10 Feb 2020
TAMU,PT Pelayaran Tamarin Samudra Tbk.,10 Mei 2017
TARA,PT Sitara Propertindo Tbk,11 Jul 2014
TAXI,Express Transindo Utama Tbk,02 Nov 2012
TBIG,PT Tower Bersama Infrastructure Tbk,26 Okt 2010
TBLA,Tunas Baru Lampung Tbk,14 Feb 2000
TBMS,Tembaga Mulia Semanan Tbk,23 Mei 1990
TCID,Mandom Indonesia Tbk,30 Sep 1993
TCPI,PT Transcoal Pacific Tbk.,06 Jul 2018
TDPM,PT Tridomain Performance Materials Tbk.,09 Apr 2018
TEBE,PT Dana Brata Luhur Tbk.,18 Nov 2019
TECH,PT Indosterling Technomedia Tbk,04 Jun 2020
TELE,PT Tiphone Mobile Indonesia Tbk.,12 Jan 2012
TFAS,PT Telefast Indonesia Tbk.,17 Sep 2019
TFCO,Tifico Fiber Indonesia Tbk,26 Feb 1980
TGKA,Tigaraksa Satria Tbk,11 Jun 1990
TGRA,PT Terregra Asia Energy,16 Mei 2017
TIFA,Tifa Finance Tbk,08 Jul 2011
TINS,PT Timah Tbk.,19 Okt 1995
TIRA,Tira Austenite Tbk,27 Jul 1993
TIRT,Tirta Mahakam Resources Tbk,13 Des 1999
TKIM,Pabrik Kertas Tjiwi Kimia Tbk,03 Apr 1990
TLKM,PT Telekomunikasi Indonesia (Persero) Tbk.,14 Nov 1995
TMAS,PT Temas Tbk.,09 Jul 2003
TMPO,Tempo Inti Media Tbk,08 Jan 2001
TNCA,PT Trimuda Nuansa Citra Tbk.,28 Jun 2018
TOBA,Toba Bara Sejahtra Tbk,06 Jul 2012
TOPS,PT Totalindo Eka Persada Tbk.,16 Jun 2017
TOTL,Total Bangun Persada Tbk,25 Jul 2006
TOTO,Surya Toto Indonesia Tbk,30 Okt 1990
TOWR,Sarana Menara Nusantara Tbk,08 Mar 2010
TOYS,PT Sunindo Adipersada Tbk.,06 Ags 2020
TPIA,PT Chandra Asri Petrochemical Tbk,24 Jun 1996
TPMA,Trans Power Marine Tbk,20 Feb 2013
TRAM,Trada Alam Minera Tbk.,10 Sep 2008
TRIL,Triwira Insanlestari Tbk,28 Jan 2008
TRIM,PT Trimegah Sekuritas Indonesia Tbk,31 Jan 2000
TRIN,PT Perintis Triniti Properti Tbk,15 Jan 2020
TRIO,Trikomsel Oke Tbk,14 Apr 2009
TRIS,Trisula International Tbk,28 Jun 2012
TRJA,PT Transkon Jaya Tbk.,27 Ags 2020
TRST,Trias Sentosa Tbk,02 Jul 1990
TRUK,PT Guna Timur Raya Tbk.,23 Mei 2018
TRUS,Trust Finance Indonesia Tbk,28 Nov 2002
TSPC,Tempo Scan Pacific Tbk,17 Jun 1994
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk,28 Mei 2018
TURI,Tunas Ridean Tbk,16 Mei 1995
UANG,PT Pakuan Tbk,06 Jul 2020
UCID,PT Uni-Charm Indonesia Tbk.,20 Des 2019
ULTJ,Ultra Jaya Milk Industry Tbk,02 Jul 1990
UNIC,Unggul Indah Cahaya Tbk,06 Nov 1989
UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002
UNSP,Bakrie Sumatera Plantations Tbk,06 Mar 1990
UNTR,United Tractors Tbk,19 Sep 1989
UNVR,Unilever Indonesia Tbk,11 Jan 1982
URBN,PT Urban Jakarta Propertindo Tbk.,10 Des 2018
VICO,PT Victoria Investama Tbk.,08 Jul 2013
VINS,PT Victoria Insurance Tbk.,28 Sep 2015
VIVA,PT Visi Media Asia Tbk,21 Nov 2011
VOKS,Voksel Electric Tbk,20 Des 1990
VRNA,Verena Multi Finance Tbk,25 Jun 2008
WAPO,Wahana Pronatural Tbk,22 Jun 2001
WEGE,PT Wijaya Karya Bangunan Gedung Tbk.,30 Nov 2017
WEHA,PT WEHA Transportasi Indonesia Tbk,31 Mei 2007
WICO,Wicaksana Overseas International Tbk,08 Ags 1994
WIIM,Wismilak Inti Makmur Tbk,18 Des 2012
WIKA,Wijaya Karya Tbk,29 Okt 2007
WINS,Wintermar Offshore Marine Tbk,29 Nov 2010
WOMF,PT Wahana Ottomitra Multiartha Tbk,13 Des 2004
WOOD,PT Integra Indocabinet Tbk,21 Jun 2017
WOWS,PT Ginting Jaya Energi Tbk,08 Nov 2019
WSBP,PT Waskita Beton Precast Tbk.,20 Sep 2016
WSKT,PT Waskita Karya (Persero) Tbk,19 Des 2012
WTON,Wijaya Karya Beton,08 Apr 2014
YELO,PT Yelooo Integra Datanet Tbk.,29 Okt 2018
YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008
YULE,Yulie Sekuritas Indonesia Tbk,10 Des 2004
ZADI,PT Asuransi Adira Dinamika Tbk,01 Jan 1911
ZBRA,Zebra Nusantara Tbk,01 Ags 1991
ZINC,PT Kapuas Prima Coal Tbk,16 Okt 2017
ZONE,PT Mega Perintis Tbk.,12 Des 2018
