Kode,Nama,Tanggal Pencatatan
BIRD,PT Blue Bird Tbk,05 Nov 2014
BISI,BISI INTERNATIONAL Tbk,28 Mei 2007
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,08 Jul 2010
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk,12 Jul 2012
BKDP,Bukit Darmo Property Tbk,15 Jun 2007
BKSL,Sentul City Tbk,28 Jul 1997
BKSW,PT Bank QNB Indonesia Tbk,21 Nov 2002
BLTA,Berlian Laju Tanker Tbk,26 Mar 1990
BLTZ,PT Graha Layar Prima Tbk.,10 Apr 2014
BLUE,PT Berkah Prima Perkasa Tbk,08 Jul 2019
BMAS,PT Bank Maspion Indonesia Tbk.,11 Jul 2013
BMRI,PT Bank Mandiri (Persero) Tbk,14 Jul 2003
BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999
BMTR,PT Global Mediacom Tbk,17 Jul 1995
BNBA,Bank Bumi Arta Tbk,01 Jun 2006
BNBR,Bakrie & Brothers Tbk,28 Ags 1989
BNGA,PT Bank CIMB Niaga Tbk,29 Nov 1989
BNII,PT Bank Maybank Indonesia Tbk,21 Nov 1989
BNLI,Bank Permata Tbk,15 Jan 1990
BOGA,PT Bintang Oto Global Tbk,19 Des 2016
BOLA,PT Bali Bintang Sejahtera Tbk.,17 Jun 2019
BOLT,PT Garuda Metalindo Tbk.,07 Jul 2015
BOSS,PT Borneo Olah Sarana Sukses Tbk.,15 Feb 2018
BPFI,Batavia Prosperindo Finance Tbk,01 Jun 2009
BPII,PT Batavia Prosperindo Internasional Tbk.,08 Jul 2014
BPTR,PT Batavia Prosperindo Trans Tbk.,09 Jul 2018
BRAM,Indo Kordsa Tbk,05 Sep 1990
BRIS,PT Bank BRIsyariah Tbk,01 Jan 1911
BRMS,Bumi Resources Minerals Tbk,09 Des 2010
BRNA,Berlina Tbk,06 Nov 1989
BRPT,Barito Pacific Tbk,01 Okt 1993
BSDE,PT Bumi Serpong Damai Tbk,06 Jun 2008
BSIM,Bank Sinarmas Tbk,13 Des 2010
BSSR,Baramulti Suksessarana Tbk,08 Nov 2012
BSWD,Bank of India Indonesia Tbk,01 Mei 2002
BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004
BTEL,Bakrie Telecom Tbk,03 Feb 2006
BTON,Betonjaya Manunggal Tbk,18 Jul 2001
BTPN,PT Bank BTPN Tbk,12 Mar 2008
BTPS,PT Bank BTPN Syariah Tbk.,08 Mei 2018
BUDI,PT Budi Starch & Sweetener Tbk.,08 Mei 1995
BUKK,Bukaka Teknik Utama Tbk,09 Jan 1995
BULL,PT Buana Lintas Lautan Tbk.,23 Mei 2011
BUMI,Bumi Resources Tbk,30 Jul 1990
BUVA,PT Bukit Uluwatu Villa Tbk,12 Jul 2010
BVIC,Bank Victoria International Tbk,30 Jun 1999
BWPT,Eagle High Plantations Tbk,27 Okt 2009
BYAN,Bayan Resources Tbk,12 Ags 2008
CAKK,PT Cahayaputra Asa Keramik Tbk.,31 Okt 2018
CAMP,PT Campina Ice Cream Industry Tbk.,19 Des 2017
CANI,PT Capitol Nusantara Indonesia Tbk.,16 Jan 2014
CARE,PT Metro Healthcare Indonesia Tbk,13 Mar 2020
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,10 Apr 2017
CASA,PT Capital Financial Indonesia Tbk,19 Jul 2016
CASH,PT Cashlez Worldwide Indonesia Tbk.,04 Mei 2020
CASS,Cardig Aero Services Tbk,05 Des 2011
CBMF,PT Cahaya Bintang Medan Tbk,09 Apr 2020
CCSI,PT Communication Cable Systems Indonesia Tbk.,18 Jun 2019
CEKA,PT Wilmar Cahaya Indonesia Tbk.,09 Jul 1996
CENT,PT Centratama Telekomunikasi Indonesia Tbk.,01 Nov 2001
CFIN,Clipan Finance Indonesia Tbk,27 Ags 1990
CINT,PT Chitose Internasional Tbk,27 Jun 2014
CITA,Cita Mineral Investindo Tbk,20 Mar 2002
CITY,PT Natura City Developments Tbk.,28 Sep 2018
CLAY,PT Citra Putra Realty Tbk,18 Jan 2019
CLEO,PT Sariguna Primatirta Tbk,05 Mei 2017
CLPI,Colorpak Indonesia Tbk,30 Nov 2001
CMNP,Citra Marga Nusaphala Persada Tbk,10 Jan 1995
CMPP,PT AirAsia Indonesia Tbk,08 Des 1994
CNKO,Exploitasi Energi Indonesia Tbk,21 Nov 2001
CNTX,Centex Tbk,22 Mei 1979
COCO,PT Wahana Interfood Nusantara Tbk.,20 Mar 2019
COWL,COWELL DEVELOPMENT Tbk,19 Des 2007
CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991
CPRI,PT Capri Nusa Satu Properti Tbk.,11 Apr 2019
CPRO,Central Proteina Prima Tbk,28 Nov 2006
CSAP,Catur Sentosa Adiprana Tbk,12 Des 2007
CSIS,PT Cahayasakti Investindo Sukses Tbk,10 Mei 2017
CSMI,PT Cipta Selera Murni Tbk.,09 Apr 2020
CSRA,PT Cisadane Sawit Raya Tbk.,09 Jan 2020
CTBN,Citra Tubindo Tbk,28 Nov 1989
CTRA,Ciputra Development Tbk,28 Mar 1994
CTTH,Citatah Tbk,03 Jul 1996
DADA,PT Diamond Citra Propertindo Tbk.,14 Feb 2020
DART,Duta Anggada Realty Tbk,08 Mei 1990
DAYA,PT Duta Intidaya Tbk.,28 Jun 2016
DEAL,PT Dewata Freightinternational Tbk.,09 Nov 2018
DEFI,Danasupra Erapacific Tbk,06 Jul 2001
DEWA,Darma Henwa Tbk,26 Sep 2007
DFAM,PT Dafam Property Indonesia Tbk,27 Apr 2018
DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007
DIGI,PT Arkadia Digital Media Tbk,18 Sep 2018
DILD,Intiland Development Tbk,04 Sep 1991
DIVA,PT Distribusi Voucher Nusantara Tbk,27 Nov 2018
DKFT,Central Omega Resources Tbk,21 Nov 1997
DLTA,Delta Djakarta Tbk,27 Feb 1984
DMAS,PT Puradelta Lestari Tbk.,29 Mei 2015
DMMX,PT Digital Mediatama Maxima Tbk,21 Okt 2019
DMND,PT Diamond Food Indonesia Tbk.,22 Jan 2020
DNAR,PT Bank Oke Indonesia Tbk.,11 Jul 2014
DNET,PT Indoritel Makmur Internasional Tbk.,11 Des 2000
DOID,Delta Dunia Makmur Tbk,15 Jun 2001
DPNS,Duta Pertiwi Nusantara Tbk,08 Ags 1990
DPUM,PT Dua Putra Utama Makmur Tbk.,08 Des 2015
DSFI,Dharma Samudera Fishing Ind. Tbk,24 Mar 2000
DSNG,PT Dharma Satya Nusantara Tbk.,14 Jun 2013
DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009
DUCK,PT Jaya Bersama Indo Tbk.,10 Okt 2018
DUTI,Duta Pertiwi Tbk,02 Nov 1994
DVLA,Darya-Varia Laboratoria Tbk,11 Nov 1994
DWGL,PT Dwi Guna Laksana Tbk,13 Des 2017
DYAN,PT Dyandra Media International Tbk.,25 Mar 2013
